Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Butovo grill,чайхана,Кафе,"Бартеневская улица, 14",1 этаж,117042,,Южное Бутово,Москва,,Москва,Россия,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+03:00,4.9,105,89991111958,,,,,http://butovogrill.com,,,,,https://wa.me/79991111958,,,,https://t.me/+79991111958,,,70000001058675247,55.550643,37.528766,70030076167172381,,,1,70000001058675246,Butovo grill,чайхана,Кафе,cafe,1,30,2025-07-04T03:00:00Z,,0,32,https://2gis.com/firm/70000001058675247,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Чайхана,,Кафе,"Малая Тульская улица, 57 к1",1 этаж,115191,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.5,4,89017252630,,,,,,,,,,,,,,,,,70000001101463872,55.701039,37.616586,4504235282693249,,,1,70000001101463871,Чайхана,Чайхана,Кафе,cafe,1,23,2026-03-04T12:10:13Z,,0,32,https://2gis.com/firm/70000001101463872,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Nice.Cafe,кафе-столовая,Кафе; Кейтеринг; Столовые,"улица Лужники, 24 ст9",-1 этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+03:00,4.8,2,84991134941,,,,,http://nice-catering.com,,,,,,,,,,,,70000001064637417,55.718973,37.555531,4504235282802680,,,5,70000001034772493,Nice.Cafe,кафе-столовая,Кейтеринг,food_service,3,11,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001064637417,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Юлдуз,кафе,Кафе; Доставка еды,"Инициативная улица, 10а",1 этаж,140015,,,Люберцы,Люберцы городской округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.6,11,89292490807,,,,,,,,,,https://wa.me/79292490807,,,,,,,4504128908511376,55.683255,37.89655,4504235282795533,,,1,4504137598386901,Юлдуз,кафе,Кафе,cafe,2,25,2026-04-09T16:21:37Z,,0,32,https://2gis.com/firm/4504128908511376,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Чайхана,,Кафе; Доставка еды,"улица Фридриха Энгельса, 21 ст4",,105005,,Басманный,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.7,2,89067259791,,,,,,,,,,https://wa.me/79067259791,,,,,,,70000001051075415,55.772772,37.682666,4504235282649025,,,1,70000001051075414,Чайхана,Чайхана,Кафе,cafe,2,17,2025-09-26T15:59:16Z,,0,32,https://2gis.com/firm/70000001051075415,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
1001 Плов,чайхана-халяль,Кафе,"Тагильская улица, 4а",1 этаж; 1 подъезд,107143,,Метрогородок,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.3,34,89966777623,,,,,,,,,,https://wa.me/79966777623,,,,https://t.me/+79966777623,,,70000001083599182,55.818759,37.752006,70030076173636665,,,1,70000001083599181,1001 Плов,чайхана-халяль,Кафе,cafe,1,30,2026-03-04T14:52:08Z,,0,32,https://2gis.com/firm/70000001083599182,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Brume cafe&lounge,,Кафе; Центры паровых коктейлей,"Ходынский бульвар, 20а",,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-04:00; Сб: 11:30-04:00; Вс: 11:30-04:00,+03:00,5.0,18,89033637610,,,,,http://Brumelounge.ru,,,,,,,,,,,,70000001114229965,55.791205,37.524817,4504235295532592,,,1,70000001114159113,Brume cafe&lounge,,Кафе,bar,2,17,2026-07-09T10:15:18Z,,0,32,https://2gis.com/firm/70000001114229965,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Сливка,ресторан,Кафе; Рестораны; Банкетные залы; Доставка еды; Бары,"Петровско-Разумовский проезд, 16",1 этаж,127287,,Савёловский,Москва,,Москва,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,22,89197203366,,,,,http://slivka-rest.ru/?utm_source=2gis,,,,https://vk.com/slivkamoscow,https://wa.me/79197203366,,,,https://t.me/slivkamoscow,,,70000001082881095,55.797566,37.569005,4504235282644981,,,1,70000001082881094,Сливка,ресторан,Рестораны,food_restaurant,5,54,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001082881095,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Здрасте,кофейня,Кафе; Кофейни; Доставка еды,"улица Добролюбова, 8 к2",,127254,,Бутырский,Москва,,Москва,Россия,Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 09:00-21:30; Вс: 09:00-21:30,+03:00,5.0,126,89951567761,,,,,http://zdrastecafe.ru,,,,https://vk.com/zdrastecoffeebar,,,,,https://t.me/zdraste_cafe_izmaylovskiy_les,https://t.me/zdrastecafe,,70000001105975114,55.811333,37.596034,70030076398111477,,,103,70000001033681797,Здрасте,кофейня,Кофейни,cafe,3,10,2026-06-29T10:32:57Z,,0,32,https://2gis.com/firm/70000001105975114,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Mom`s cook,кафе корейской кухни,Кафе,"Большой Овчинниковский переулок, 16",2 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.2,7,,,,,,,,,,,,,,,,,,70000001110021258,55.744236,37.630421,4504235282712355,ТДЦ Аркадия,70030076637586104,1,70000001110021257,Mom`s cook,кафе корейской кухни,Кафе,cafe,1,5,2026-06-04T13:17:25Z,,0,32,https://2gis.com/firm/70000001110021258,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Тхань,кафе,Кафе,"Новорязанская улица, 25 ст1",1 этаж,105066,,Басманный,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,59,89652399345,89167539212,89997990521,,,http://thanhcafe.ru,,,,,https://wa.me/79652399345,,,,,,,70000001038681197,55.772414,37.664261,4504235282653425,,,2,70000001038681196,Тхань,кафе,Кафе,cafe,1,20,2026-03-27T11:38:34Z,,0,32,https://2gis.com/firm/70000001038681197,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Ранчо К3,салун,Кафе; Доставка еды,"1-й Котляковский переулок, 2а к3",1 этаж,115201,,Москворечье-Сабурово,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,8,84991300314,,,,,http://rancho-k3.ru,,,,,,,,,https://t.me/+Lkp-A8-LSSI3MDc6,,,70000001092761259,55.649661,37.632032,70030076209179117,,,1,70000001092761258,Ранчо К3,салун,Доставка еды,cafe,2,26,2025-09-15T16:27:13Z,,0,32,https://2gis.com/firm/70000001092761259,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Хинкальная,,Кафе; Кулинарии,"Комсомольская площадь, 2",1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,46,89168849850,,,,,,,,,,https://wa.me/79168849850,,,,,,,70000001086928992,55.773396,37.655788,4504235282657018,Казанский вокзал,70030076568824484,1,70000001086928991,Хинкальная,Хинкальная,Кафе,food_service,2,12,2026-04-07T19:53:58Z,,0,32,https://2gis.com/firm/70000001086928992,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
6 am Bread Kitchen,кафе,Кафе,"Садовническая улица, 80",1 этаж,115035,,Замоскворечье,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,385,89802182840,,,,,,,,,,,,,,,,,70000001044392120,55.737603,37.641381,4504235318675404,,,1,70000001044392119,6 am Bread Kitchen,кафе,Кафе,cafe,1,22,2026-04-13T09:36:14Z,,0,32,https://2gis.com/firm/70000001044392120,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Либерто,кафе быстрого обслуживания,Кафе,"Селезнёвская улица, 15 ст2",,127473,,Тверской,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.7,10,84999782271,,,,,http://liberto-kafe.ru,,,,,,,,,,,,70000001006991535,55.780832,37.607955,4504235282736309,,,1,70000001006991536,Либерто,кафе быстрого обслуживания,Кафе,cafe,1,31,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001006991535,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Панда парк,кафе,Кафе,"Автозаводская улица, 18",3 этаж,115280,,Даниловский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+03:00,,,84992168215,,,,,,,,,,,,,,,,,70000001110247249,55.705284,37.642907,4504235283026878,ТРЦ Ривьера,4504694888506034,1,70000001110247248,Панда парк,кафе,Кафе,cafe,1,9,2026-06-01T12:04:18Z,,0,32,https://2gis.com/firm/70000001110247249,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
ШашлыкHouse1,ресторан быстрого питания,Кафе,"Нагорная улица, 31 ст А",,117186,,Котловка,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,36,89394048888,,,,,http://shashlikhouse1.ru,,,,,,,,,,,,70000001096452307,55.674587,37.597608,4504235313356559,,,3,70000001057783564,ШашлыкHouse1,ресторан быстрого питания,Кафе,cafe,1,25,2026-06-15T12:00:26Z,,0,32,https://2gis.com/firm/70000001096452307,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Хаят,кафе,Кафе; Доставка еды,,,140181,,,Жуковский,Жуковский городской округ,Московская область,Россия,"Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-02:00 (до последнего гостя: пт, сб)",+03:00,5.0,5,89162404444,89636343346,,,,http://resturanthyatt.ru,,,,https://vk.com/cafe_hayat,https://wa.me/79162404444,,,,,,,70000001037369753,55.573783,38.114627,70030076181438021,,,1,70000001037369752,Хаят,кафе,Кафе,cafe,2,40,2026-05-28T11:45:54Z,,0,32,https://2gis.com/firm/70000001037369753,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Prolunch,кафе,Кафе,"Павелецкая площадь, 2 ст2",цокольный этаж; от ресепшена налево,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 11:00-16:30; Вт: 11:00-16:30; Ср: 11:00-16:30; Чт: 11:00-16:30; Пт: 11:00-16:30,+03:00,5.0,4,89250027464,,,,,http://prolunch.ru,,,,,https://wa.me/79250027464,,,,https://t.me/prolunch,,,70000001098166413,55.730388,37.636088,4504235282703810,,,6,70000001047724569,Prolunch,кафе,Кафе,cafe,1,15,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001098166413,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Гастрофабрика,кафе,Кафе; Доставка еды; Столовые,"Нагорная улица, 3а",1 этаж,117186,,Котловка,Москва,,Москва,Россия,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 10:00-19:00,+03:00,4.4,33,84991230315,,,,,,,,,,,,,,,,,70000001048685017,55.682596,37.613226,70030076138631225,,,1,70000001048685013,Гастрофабрика,кафе,Кафе,food_service,3,20,2025-11-25T09:37:08Z,,0,32,https://2gis.com/firm/70000001048685017,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Пантера,кафе-ресторан,Кафе; Доставка еды,"Бойцовая улица, 8",2 этаж,107370,,Богородское,Москва,,Москва,Россия,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+03:00,2.2,10,89671050808,89055013192,,,,,,,,,https://wa.me/79671050808,,,,,,,4504128908773597,55.810912,37.717984,4504235282557769,,,1,4504137598551252,Пантера,кафе-ресторан,Кафе,cafe,2,24,2026-02-03T14:13:28Z,,0,32,https://2gis.com/firm/4504128908773597,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Квизаль,кафе-ресторан,Кафе,"Хорошёвское шоссе, 25а к1",,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,0.0,1,89250996663,,,,,,,,,,,,,,,,,70000001113760202,55.777078,37.526733,70030076191752629,,,1,70000001113760201,Квизаль,кафе-ресторан,Кафе,cafe,1,7,2026-04-23T10:16:41Z,,0,32,https://2gis.com/firm/70000001113760202,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Золотое счастье,кафе,Кафе; Доставка еды,"Совхозная улица, 10Б",1 этаж,109559,,Люблино,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.4,14,89773903777,89240196575,,,,,,,,https://vk.com/club236527351,https://wa.me/79773903777,,,,,,,70000001090683530,55.673972,37.762234,70030076194786150,,,1,70000001090683529,Золотое счастье,кафе,Кафе,cafe,2,22,2026-03-20T12:40:55Z,,0,32,https://2gis.com/firm/70000001090683530,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Хинкали Gали,кафе,Кафе; Доставка еды,"Погонный проезд, 12",,107258,,Богородское,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.8,28,89804636130,,,,,http://hinkaligali.ru,http://horeca-home.com,,,https://vk.com/hinkaligali.cafe,,,,,https://t.me/Hinkali_Gali_cafe_bot,https://t.me/hinkali_gali_cafe,,70000001066757963,55.818549,37.710255,4504235282545493,,,19,70000001064207955,Хинкали Gали,кафе,Кафе,cafe,2,34,2026-06-29T08:29:57Z,,0,32,https://2gis.com/firm/70000001066757963,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Майсара,кафе,Кафе,"улица Намёткина, 3",1 этаж,117393,,Обручевский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,1,89771306541,,,,,http://maysara.ru,,,,,,,,,,,,70000001114889913,55.666465,37.545855,4504235282585816,,,1,70000001114889912,Майсара,кафе,Кафе,cafe,1,19,2026-06-08T10:34:34Z,,0,32,https://2gis.com/firm/70000001114889913,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Здрасте,кофейня,Кафе; Кофейни; Доставка еды,"Сосновая улица, 1 к3",1 этаж,140056,Опытное поле м-н,,Котельники,Котельники городской округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.9,315,89269966292,,,,,http://zdrastecafe.ru/app,http://t.me/zdraste_orangepark,,,https://vk.com/zdrastecoffeebar,,,,,https://t.me/zdraste_cafe_izmaylovskiy_les,https://t.me/zdrastecafe,,70000001082650564,55.670862,37.856428,70030076126637475,,,103,70000001033681797,Здрасте,кофейня,Кофейни,cafe,3,48,2026-07-07T06:38:30Z,,0,32,https://2gis.com/firm/70000001082650564,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Kitchen,семейное кафе,Кафе; Кондитерские изделия; Доставка еды,"Большая Марфинская улица, 4 к1",1 этаж,127276,Марфино жилой комплекс,Марфино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.6,25,89261240550,,,,,http://cafe-kitchen.ru,,,,https://vk.com/kitchen_cafe,https://wa.me/79261240550,,,,,,,4504128908515767,55.826659,37.593564,4504235283005442,,,10,4504136499526572,Kitchen,семейное кафе,Кафе,cafe,3,44,2026-04-16T07:11:16Z,,0,32,https://2gis.com/firm/4504128908515767,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
О своем,кафе-бар,Кафе; Бары,"Алтуфьевское шоссе, 2 к1",,127562,,Отрадное,Москва,,Москва,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,5.0,14,89255005544,,,,,http://o-svoem-rest.ru/?utm_source=2gis,http://t.me/cafebarosvoem,,,,,,,,https://t.me/+79255005545,https://t.me/Osvoemrest,,70000001101821042,55.848919,37.587247,4504235311657005,,,1,70000001101821041,О своем,кафе-бар,Кафе,bar,2,12,2026-05-04T09:50:16Z,,0,32,https://2gis.com/firm/70000001101821042,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Моремания,кафе-магазин,Кафе; Рыба и морепродукты; Доставка еды,"Куликовская улица, 6",0 этаж,117628,,Северное Бутово,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.5,182,89264685088,,,,,http://moremania.su,http://moremania.info,,,https://vk.com/moremaniya1,,,,,,,https://youtube.com/channel/UCS0RGGOdaEB3yZhMMnlqBaQ,70000001040736406,55.574128,37.565366,4504235283153433,ТЦ Алфавит,70030076618745779,33,70000001020859474,Моремания,кафе-магазин,Рыба и морепродукты,cafe,3,25,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001040736406,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Shallot,кафе-столовая,Кафе; Столовые; Кейтеринг; Банкетные залы,"улица Годовикова, 9 ст17",1 этаж,129085,,Останкинский,Москва,,Москва,Россия,Пн: 09:30-18:00; Вт: 09:30-18:00; Ср: 09:30-18:00; Чт: 09:30-18:00; Пт: 09:30-18:00,+03:00,4.8,9,89362929989 (кейтеринг),,,,,http://shallot.site,,,,,https://wa.me/79362929989,,,,https://t.me/+79362929989,,,70000001086805245,55.808772,37.629519,70030076170724173,,,1,70000001086805244,Shallot,кафе-столовая,Столовые,food_service,4,44,2026-02-17T15:38:22Z,,0,32,https://2gis.com/firm/70000001086805245,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Моремания,кафе-магазин,Кафе; Рестораны; Рыба и морепродукты,"МКАД 47 километр, ст20",1 этаж,119618,,Солнцево,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.2,21,84951500551,,,,,http://moremania.su,http://moremania.info,,,https://vk.com/moremaniya1,,,,,,,https://youtube.com/channel/UCS0RGGOdaEB3yZhMMnlqBaQ,70000001087771606,55.659803,37.428657,4504235282819865,Гипер Лента,70030076335109568,33,70000001020859474,Моремания,кафе-магазин,Рестораны,food_restaurant,3,33,2026-01-25T13:06:29Z,,0,32,https://2gis.com/firm/70000001087771606,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Грузинский дом Нана,кафе,Кафе,"Фестивальная улица, 4а ст1",,125565,,Левобережный,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.2,39,89266653549,89256589694,,,,,,,,,https://wa.me/79266653549,,,,,,,70000001058751930,55.855281,37.484696,4504235282550227,,,1,70000001058751929,Грузинский дом Нана,кафе,Кафе,cafe,1,22,2026-01-27T15:07:29Z,,0,32,https://2gis.com/firm/70000001058751930,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Чебуреки и манты,кафе,Кафе; Доставка еды,"Первомайская улица, 50",,141701,Старый город м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.8,15,89917031828,,,,,http://cm.cafe,,,,,https://wa.me/79917031828,,,,,,,70000001059763925,55.93755,37.518289,4504235282981222,,,5,70000001028376590,Чебуреки и манты,кафе,Доставка еды,cafe,2,29,2026-03-17T14:50:21Z,,0,32,https://2gis.com/firm/70000001059763925,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Офицерское,кафе-столовая,Кафе,"Красноказарменная улица, 3 ст1",,111250,,Лефортово,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00,+03:00,4.2,27,89686475270,89261361927,,,,http://ofitserskoe.ru,,,,,https://wa.me/79686475270,,,,,,,70000001020110209,55.76053,37.690477,4504235282590019,,,1,70000001020110208,Офицерское,кафе-столовая,Кафе,cafe,1,21,2026-04-20T16:18:43Z,,0,32,https://2gis.com/firm/70000001020110209,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Дюшес,ресторан,Кафе; Банкетные залы; Доставка еды,"Пионерская улица, 33а",,141074,Подлипки м-н,,Королёв,Королёв городской округ,Московская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.8,124,89857699988 (служба бронирования),84957893656 (служба доставки: пн-вс 11:00-23:00),,,,http://dushes-cafe.ru/restorany/restoran-dyushes-v-koroleve/?utm_source=2gis&utm_medium=kartykor,,,,https://vk.com/dusheszelenograd,,,,,https://t.me/dushescafe,,,4504127908982374,55.914041,37.814696,4504235282638171,,,8,4504137598300440,Дюшес,ресторан,Кафе,food_restaurant,3,56,2026-04-10T13:08:22Z,,0,32,https://2gis.com/firm/4504127908982374,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Плов-Центр,столовая,Кафе; Столовые; Доставка еды,"Осенняя улица, 23",цокольный этаж,121609,,Крылатское,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.7,3,89197699191,,,,,,,,,,https://wa.me/79197699191,,,,,,,70000001060442683,55.766767,37.404562,4504235282629988,,,1,70000001060442682,Плов-Центр,столовая,Столовые,food_service,3,14,2025-10-24T13:45:47Z,,0,32,https://2gis.com/firm/70000001060442683,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Деликатеска,устричный бар-гастроном,Кафе; Доставка еды; Быстрое питание; Бары; Рыба и морепродукты,"шоссе Энтузиастов, 3 к2",1 этаж,111033,,Лефортово,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.5,18,89917271622,,,mail@delikateska.ru,,http://t.me/delikateskaentuziastov,http://dzen.ru/delikateska,http://rutube.ru/channel/23890568,,https://vk.com/delikateska,,,,,https://t.me/delikateska_ru,,,70000001090163680,55.747973,37.69228,70030076128488254,,,13,70000001100793064,Деликатеска,устричный бар-гастроном,Доставка еды,fastfood,5,17,2026-07-01T21:36:23Z,,0,32,https://2gis.com/firm/70000001090163680,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Анор,кафе,Кафе,,,,,,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.7,3,89245450000,89652292525,89256274775,,,,,,,,https://wa.me/79245450000,https://wa.me/79260511616,,,,,,70000001079623085,,,,,,1,70000001079623084,Анор,кафе,Кафе,cafe,1,13,2025-09-26T12:41:06Z,,0,32,https://2gis.com/firm/70000001079623085,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
